iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
70,54,accepted,1,0.010554,0.000555112,0.000506368,0.000436156,0.000440002,0.000440002,0.880796,0.0531942,0.825825,0.011262,0.0496343,0.0250071,0.024627,,best_validation_checkpoint_1.bin
71,54,rejected,1,0.212144,0.00555112,0.000506368,0.000436156,0.000440002,0.000440002,0.932493,0.0542697,0.876459,0.0108288,0.0126497,0.0126496,0,,
72,54,rejected,0,0.212144,0.0555112,0.000506368,0.000436156,0.000440002,0.000440002,0,0,0,0.0108646,0.012588,0.012588,0,,
73,54,rejected,0,0.212144,0.555112,0.000506368,0.000436156,0.000440002,0.000440002,0,0,0,0.0111518,0.012566,0.0125659,0,,
74,55,accepted,0,0.212144,0.277556,0.000503439,0.000434991,0.000438849,0.000438849,0,0,0,0.0121403,0.0497726,0.0254674,0.0243051,,best_validation_checkpoint_0.bin
75,56,accepted,1,0.0869653,0.138778,0.000500999,0.00043563,0.000439514,0.000438849,0.959468,0.0551798,0.902543,0.0120928,0.0496137,0.0255449,0.0240687,,
76,57,accepted,1,0.0150837,0.0693889,0.000500556,0.000435484,0.000439379,0.000438849,0.950295,0.0544524,0.894162,0.0115623,0.0482605,0.0250303,0.0232301,,
77,58,accepted,1,0.00152588,0.0346945,0.000500024,0.000435039,0.000438937,0.000438849,0.941684,0.0540967,0.885822,0.0113108,0.0504792,0.0263477,0.0241315,,
78,59,accepted,1,0.000360925,0.0173472,0.000498987,0.000434131,0.00043803,0.00043803,0.868591,0.0564278,0.809929,0.0107375,0.0510472,0.0251386,0.0259086,,best_validation_checkpoint_1.bin
79,60,accepted,1,0.000292185,0.00867362,0.000496944,0.00043237,0.000436267,0.000436267,0.973417,0.0536999,0.918017,0.0111495,0.0494588,0.0250041,0.0244545,,best_validation_checkpoint_0.bin
80,61,accepted,1,0.000283509,0.00433681,0.000492935,0.0004289,0.000432787,0.000432787,0.900106,0.0547199,0.8437,0.0112998,0.049044,0.0248207,0.0242232,,best_validation_checkpoint_1.bin
81,62,accepted,1,0.000345636,0.0021684,0.000485182,0.00042219,0.000426053,0.000426053,0.880502,0.0562829,0.822467,0.0104055,0.0501437,0.0253495,0.0247941,,best_validation_checkpoint_0.bin
82,63,accepted,1,0.00113825,0.0010842,0.000470638,0.000409556,0.000413358,0.000413358,0.901408,0.05404,0.845628,0.0118568,0.0490583,0.0251607,0.0238974,,best_validation_checkpoint_1.bin
83,64,accepted,1,0.00771992,0.000542101,0.00044745,0.000386925,0.000390586,0.000390586,0.907474,0.0540836,0.851519,0.0112469,0.0501015,0.0253979,0.0247036,,best_validation_checkpoint_0.bin
84,64,rejected,1,0.144019,0.00542101,0.00044745,0.000386925,0.000390586,0.000390586,0.9174,0.0536471,0.861937,0.011098,0.0135586,0.0135582,0,,
85,65,accepted,0,0.144019,0.00271051,0.000440019,0.00038169,0.000385403,0.000385403,0,0,0,0.0110297,0.0498862,0.0251477,0.0247385,,best_validation_checkpoint_1.bin
86,66,accepted,1,0.0469456,0.00135525,0.000429083,0.000373213,0.000376901,0.000376901,0.923991,0.0530371,0.868525,0.0172241,0.0497866,0.0253221,0.0244644,,best_validation_checkpoint_0.bin
87,67,accepted,1,0.00959289,0.000677626,0.000411096,0.000357213,0.000360841,0.000360841,0.895941,0.0548224,0.839235,0.0116874,0.052219,0.0261265,0.0260924,,best_validation_checkpoint_1.bin
88,67,rejected,1,0.0446118,0.00677626,0.000411096,0.000357213,0.000360841,0.000360841,0.884052,0.0536862,0.8286,0.0109609,0.0127136,0.0127136,0,,
89,68,accepted,0,0.0446118,0.00338813,0.000406758,0.000353674,0.000357344,0.000357344,0,0,0,0.0112021,0.0498976,0.0252398,0.0246577,,best_validation_checkpoint_0.bin
90,69,accepted,1,0.00620781,0.00169407,0.000399534,0.000347512,0.00035118,0.00035118,0.861271,0.053523,0.805931,0.0124487,0.0518443,0.027192,0.0246523,,best_validation_checkpoint_1.bin
91,70,accepted,1,0.00237878,0.000847033,0.000386163,0.000335823,0.00033947,0.00033947,0.865656,0.0531255,0.810823,0.0118052,0.05149,0.0282602,0.0232297,,best_validation_checkpoint_0.bin
92,71,accepted,1,0.0122244,0.000423516,0.000368444,0.000315051,0.000318632,0.000318632,0.878211,0.0540434,0.822411,0.0114587,0.0574166,0.0313631,0.0260533,,best_validation_checkpoint_1.bin
93,71,rejected,1,0.253242,0.00423516,0.000368444,0.000315051,0.000318632,0.000318632,0.937494,0.0533199,0.882365,0.0118494,0.0138304,0.0138304,0,,
94,72,accepted,0,0.253242,0.00211758,0.000357711,0.000310485,0.000314154,0.000314154,0,0,0,0.0110349,0.0527628,0.0254023,0.0273605,,best_validation_checkpoint_0.bin
95,73,accepted,1,0.038196,0.00105879,0.000348229,0.000302612,0.000306295,0.000306295,0.921783,0.0549515,0.865078,0.0106272,0.049898,0.0250543,0.0248436,,best_validation_checkpoint_1.bin
96,74,accepted,1,0.0161323,0.000529396,0.000332893,0.000288078,0.000291764,0.000291764,0.926076,0.0550024,0.869284,0.0114151,0.049604,0.0251463,0.0244575,,best_validation_checkpoint_0.bin
97,74,rejected,1,0.0889328,0.00529396,0.000332893,0.000288078,0.000291764,0.000291764,0.911377,0.0553901,0.854294,0.0108924,0.0125767,0.0125765,0,,
98,75,accepted,0,0.0889328,0.00264698,0.000328123,0.000285061,0.000288811,0.000288811,0,0,0,0.0103059,0.0497971,0.0250369,0.02476,,best_validation_checkpoint_1.bin
