case,arm,dt,beta,status,repetitions,failures,process_wall_seconds_median,process_wall_seconds_min,process_wall_seconds_max,nonlinear_updates,linear_iterations,function_evaluations,checkpoint_sha256,accuracy_reference,reference_snapshot_sha256,cells,rmse,mae,q99_abs_error,max_abs_error,prediction_min,prediction_max,out_of_bounds_count,rmse_vs_independent_oracle,physical_step_residual_rmse,physical_step_residual_max,mass_balance_defect,active_cells,active_region_rmse,max_undershoot,max_overshoot,training_iteration,training_accepted_updates,training_instrumented_seconds_to_checkpoint,training_instrumented_seconds_charged,training_hours,training_trace_sha256,local_validation_rmse,local_validation_mse,reference_path_local_rmse
residual_lambda_0p01_checkpoint_2756,0.01,50,75.0,completed,5,0,0.4099529000000075,0.3976974000000837,0.4570300999999972,126,132,127,c181cd5ac63344a72a6491df1518c7c0e627de600b5d8a5c94586828865f8008,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.0009256475410764812,0.000576150190485228,0.0025811451912952955,0.002654790365112604,0.00010551321588198048,0.8548590181625415,0,0.0009256475410763087,0.0020782932258025092,0.005858428673856053,0.23269200336045515,266,0.0012652176185600063,0.0,0.0,2756,2122,2184.0590943000025,2184.0590943000025,0.6066830817500007,2500a943902edcbb039a4bd34280ed652b2b46033df3db8f8dc3174df0dfa625,4.999312624114429e-05,2.49931267136299e-09,7.770551582095325e-05
residual_lambda_0p01_checkpoint_5267,0.01,50,75.0,completed,5,0,0.458640599999967,0.4366879000001518,0.47533320000002277,166,172,167,203a12e8bd9a55cd1fca15c0b56cb5341f1e0ad958af4a39e31361016224782c,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.000222537298583292,0.00014636989793108307,0.0004349414276521085,0.0004433387891862872,2.623426980097321e-06,0.8548680851664475,0,0.00022253729858313955,0.0007539209690658777,0.004073564697358867,-0.06515621569907637,266,0.000305093442676502,0.0,0.0,5267,4053,4445.255719300003,4445.255719300003,1.2347932553611118,2500a943902edcbb039a4bd34280ed652b2b46033df3db8f8dc3174df0dfa625,1.580743757712959e-05,2.498750827548486e-10,1.3389489659408766e-05
residual_lambda_0p1_checkpoint_793,0.1,50,75.0,completed,5,0,0.4023867999999311,0.3986095000000205,0.4220963000000211,115,115,116,b1eeb12750f7bd12b5b69fd9894985452c0ca430decdda59184f6781a006ef40,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.02950485367151454,0.01592319849002835,0.08955533740948042,0.09146871841541633,0.0016788336273909547,0.8550606241074978,0,0.029504853671508246,0.03219325399250648,0.08108697345507014,6.89810153866587,266,0.03353815386235074,0.0,0.0,793,612,573.7542987000004,573.7542987000004,0.15937619408333345,ed18f52d51b153d930b0ec06b571de16315ac551350df313e5bb33429a289414,0.0004953220489198827,2.453439321461906e-07,0.001165983312255772
residual_lambda_0p1_checkpoint_4054,0.1,50,75.0,completed,5,0,0.40478379999990466,0.4032334000000901,0.4086534999999003,113,113,114,4fa2b4b11ddb3518ec87d58a7a6687d442db5577a5d12801cc01187a3d127d48,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.0013643137126435687,0.0009156517627236979,0.003029823621654074,0.0032557761744863196,0.0001619345165281283,0.8548515513886229,0,0.0013643137126431967,0.0034317763296697924,0.010389950917750745,-0.3599632636992567,266,0.001864326601351514,0.0,0.0,4054,3120,3098.8585984999986,3098.8585984999986,0.8607940551388885,ed18f52d51b153d930b0ec06b571de16315ac551350df313e5bb33429a289414,4.9992480339220464e-05,2.4992480904673446e-09,0.00011617248274287798
residual_lambda_0p1_checkpoint_8232,0.1,50,75.0,completed,5,0,0.4063608999999815,0.40495339999984026,0.4296393999998145,132,138,133,7d105be10ca3792b5430e0e9c414b9a81f7cb91f74853435fcbf16b79f87ee1f,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.000457841460277887,0.0002639842482439553,0.0013168815396421216,0.0015075405000204121,3.2955685978591996e-05,0.8548693624940134,0,0.00045784146027766647,0.0010492821876094951,0.003306431001018184,-0.11021117040456829,266,0.0006269488704475722,0.0,0.0,8232,6332,6597.213821299981,6597.213821299981,1.8325593948055503,ed18f52d51b153d930b0ec06b571de16315ac551350df313e5bb33429a289414,1.5808380300564554e-05,2.4990488772727743e-10,2.8396577137297565e-05
residual_lambda_1_checkpoint_1076,1,50,75.0,completed,5,0,0.38692790000004607,0.3685696000000007,0.39592100000004393,99,99,100,c49a309509324318ca43c1b8b830da7efea476f9beba965503209bc69412e064,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.014048918950181734,0.009805038882455708,0.031171891503042084,0.03479088041387915,0.0017192346490213213,0.8548996898037136,0,0.01404891895018138,0.027681964745054338,0.12194021180505255,-4.054513562470163,266,0.01919375019993868,0.0,0.0,1076,829,848.3327758000003,848.3327758000003,0.23564799327777786,ac7c4615c90d06ddf737227442febd6aa04e2ec176640e919fa3534af6a88372,0.0004988663667171375,2.4886765184155755e-07,0.0011986687755479667
residual_lambda_1_checkpoint_7905,1,50,75.0,completed,5,0,0.4046203999998852,0.38889709999989464,0.4227989000000889,119,125,120,6c51786bee4d3a347a971eaf4f48abcdb6a57de22c0080b426dd12618aeaab55,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.0014614253438851765,0.0008242781639016308,0.0044085917087564735,0.004508066705552309,0.00013651466152442282,0.8548687857475121,0,0.0014614253438849536,0.0030581845502611394,0.010612915022147118,0.13573146477953912,266,0.001999514556215929,0.0,0.0,7905,6079,6551.8104405000095,6551.8104405000095,1.819947344583336,ac7c4615c90d06ddf737227442febd6aa04e2ec176640e919fa3534af6a88372,4.995022057207658e-05,2.4950245351991028e-09,0.00010228809752914655
residual_lambda_1_checkpoint_11596,1,50,75.0,completed,5,0,0.529083700000001,0.507049699999925,0.5330619999999726,267,266,268,e7c381032c70fd5a0f2c6df614f03645d883a7223ac469eae5004099d1eb65b6,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.00035033593975894364,0.00022413567669467258,0.0009722770625231466,0.00106158152571551,-7.680827089462383e-06,0.8548651921372055,235,0.0003503359397588909,0.0007011957864810471,0.0023265739269260344,-0.10904179599744168,266,0.00048026398337199053,7.680827089462383e-06,0.0,11596,8917,9322.538940500011,9322.538940500011,2.589594150138892,ac7c4615c90d06ddf737227442febd6aa04e2ec176640e919fa3534af6a88372,1.580997834030075e-05,2.4995541512077884e-10,1.181113433606435e-05
residual_lambda_0p01_checkpoint_13,0.01,50,75.0,completed,5,0,0.3725518999999622,0.37017939999986993,0.3941562999998496,84,90,85,2e6b8a49fc2eae7bdbf357c0a818fd5d9b20edc0d44dc16b8084dee6b6e6ab1e,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.5625737152751807,0.5306957496362187,0.6781606196971556,0.6781606196971579,0.6781606196971512,0.8526151623763505,0,0.5625737152751782,0.6703811792341291,0.6781606196972033,334.14507925308817,266,0.4362673412618262,0.0,0.0,13,11,10.693933499999998,10.693933499999998,0.002970537083333333,2500a943902edcbb039a4bd34280ed652b2b46033df3db8f8dc3174df0dfa625,0.012961419944354374,0.00016799840697390736,0.020619353887150242
residual_lambda_0p1_checkpoint_34,0.1,50,75.0,completed,5,0,0.4388112000001456,0.437836900000093,0.45575800000005984,183,189,184,92c152c71befbb56e569a051a172cfffa551b727d33de5c3af378c1e3e95ec6e,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.6495629965474995,0.620580632456956,0.7700184790653856,0.7700184790653857,0.7700184790653843,0.8560284101241495,0,0.649562996547497,0.7666368781415347,0.7700184790654023,382.7063989384596,266,0.5210630550846375,0.0,0.0,34,26,27.2181281,27.2181281,0.007560591138888889,ed18f52d51b153d930b0ec06b571de16315ac551350df313e5bb33429a289414,0.015404129327359179,0.00023728720033400715,0.01759656198645619
residual_lambda_1_checkpoint_33,1,50,75.0,completed,5,0,0.4761693999998897,0.4584602000004452,0.4949285000002419,204,210,205,ba7794c9e30aec6bb0cfe5da7edb8c3bf8f3ca4d8b3626a55bf8731b07a3e6ee,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.5078478410153608,0.475192441331582,0.6193431315942909,0.6193431315952863,0.6193431315926944,0.8562172954546438,0,0.5078478410153583,0.6075641412577082,0.6193431315927204,302.75128546822543,266,0.38386445601080466,0.0,0.0,33,25,23.93450739999999,23.93450739999999,0.006648474277777775,ac7c4615c90d06ddf737227442febd6aa04e2ec176640e919fa3534af6a88372,0.01570107207279858,0.00024652366423521545,0.017487504436157365
