iteration,accepted_updates,status,linearization_refreshed,mean_mse_gradient_norm,lambda,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
97,76,accepted,0,0.0092542,1.32349e-05,9.57196e-06,9.75481e-06,9.75481e-06,0,0,0,0.0115964,0.0341769,0.0121777,0.0219992,checkpoint_97.bin,best_validation_checkpoint_0.bin
98,77,accepted,1,0.000108587,6.61744e-06,9.28518e-06,9.47221e-06,9.47221e-06,0.464644,0.0334572,0.429517,0.0114142,0.0364992,0.0122049,0.0242942,,best_validation_checkpoint_1.bin
99,78,accepted,1,0.000983286,3.30872e-06,8.88416e-06,9.07687e-06,9.07687e-06,0.472048,0.0307846,0.439138,0.0107807,0.0372232,0.0133022,0.0239208,,best_validation_checkpoint_0.bin
100,78,rejected,1,0.00413772,3.30872e-05,8.88416e-06,9.07687e-06,9.07687e-06,0.466702,0.0309033,0.434009,0.0129344,0.0150983,0.015098,0,,
101,79,accepted,0,0.00413772,1.65436e-05,8.67359e-06,8.86155e-06,8.86155e-06,0,0,0,0.0201562,0.0352092,0.0131895,0.0220195,,best_validation_checkpoint_1.bin
102,80,accepted,1,5.85923e-05,8.27181e-06,8.48726e-06,8.67641e-06,8.67641e-06,0.462904,0.034036,0.427009,0.0111966,0.0375102,0.0136474,0.0238627,,best_validation_checkpoint_0.bin
103,81,accepted,1,0.000465303,4.1359e-06,8.17584e-06,8.36676e-06,8.36676e-06,0.492843,0.0326802,0.458422,0.0113942,0.0383298,0.0138888,0.0244408,,best_validation_checkpoint_1.bin
104,82,accepted,1,0.00202158,2.06795e-06,7.89551e-06,8.08171e-06,8.08171e-06,0.51406,0.0331922,0.478431,0.0185223,0.0393252,0.0145767,0.0247484,,best_validation_checkpoint_0.bin
105,82,rejected,1,0.0069779,2.06795e-05,7.89551e-06,8.08171e-06,8.08171e-06,0.503463,0.0346501,0.466922,0.017851,0.0152133,0.0152131,0,,
106,83,accepted,0,0.0069779,1.03398e-05,7.47737e-06,7.66347e-06,7.66347e-06,0,0,0,0.0157294,0.0418933,0.0166027,0.0252905,,best_validation_checkpoint_1.bin
107,84,accepted,1,3.75282e-05,5.16988e-06,7.27479e-06,7.45973e-06,7.45973e-06,0.487662,0.0377317,0.448012,0.0120111,0.0369883,0.012613,0.0243752,,best_validation_checkpoint_0.bin
108,85,accepted,1,0.000612647,2.58494e-06,6.96536e-06,7.14659e-06,7.14659e-06,0.453549,0.0332984,0.417709,0.0115529,0.0369395,0.0124706,0.0244688,,best_validation_checkpoint_1.bin
109,86,accepted,1,0.00270204,1.29247e-06,6.8754e-06,7.03586e-06,7.03586e-06,0.471175,0.0315811,0.437702,0.0114589,0.0369054,0.0126322,0.0242731,,best_validation_checkpoint_0.bin
110,86,rejected,1,0.00845384,1.29247e-05,6.8754e-06,7.03586e-06,7.03586e-06,0.471121,0.0311551,0.438218,0.0119267,0.0122108,0.0122105,0,,
111,87,accepted,0,0.00845384,6.46235e-06,6.21324e-06,6.38478e-06,6.38478e-06,0,0,0,0.0107309,0.0347691,0.0121035,0.0226656,,best_validation_checkpoint_1.bin
112,88,accepted,1,0.000268797,3.23117e-06,6.00782e-06,6.17469e-06,6.17469e-06,0.472123,0.0310129,0.4393,0.0110835,0.0360541,0.0121255,0.0239285,,best_validation_checkpoint_0.bin
113,89,accepted,1,0.000513883,1.61559e-06,5.73639e-06,5.89311e-06,5.89311e-06,0.457208,0.0315348,0.423796,0.0108068,0.0362709,0.0123173,0.0239536,,best_validation_checkpoint_1.bin
114,89,rejected,1,0.00281736,1.61559e-05,5.73639e-06,5.89311e-06,5.89311e-06,0.448683,0.0308353,0.416117,0.0109515,0.0120696,0.0120693,0,,
115,90,accepted,0,0.00281736,8.07794e-06,5.56711e-06,5.72643e-06,5.72643e-06,0,0,0,0.0118007,0.0358617,0.0123272,0.0235344,,best_validation_checkpoint_0.bin
116,91,accepted,1,0.000154105,4.03897e-06,5.43387e-06,5.58948e-06,5.58948e-06,0.480527,0.0316813,0.446994,0.011483,0.0365955,0.0123108,0.0242846,,best_validation_checkpoint_1.bin
117,92,accepted,1,0.000378452,2.01948e-06,5.22105e-06,5.36931e-06,5.36931e-06,0.461034,0.0308428,0.428307,0.0616475,0.041474,0.0121697,0.0293043,,best_validation_checkpoint_0.bin
118,93,accepted,1,0.00156545,1.00974e-06,5.11613e-06,5.24819e-06,5.24819e-06,0.457908,0.0321021,0.423904,0.0115935,0.0378878,0.0127511,0.0251366,,best_validation_checkpoint_1.bin
119,93,rejected,1,0.00567054,1.00974e-05,5.11613e-06,5.24819e-06,5.24819e-06,0.488685,0.0371893,0.449211,0.0121261,0.0129484,0.0129481,0,,
120,94,accepted,0,0.00567054,5.04871e-06,4.72223e-06,4.86004e-06,4.86004e-06,0,0,0,0.0119617,0.0369625,0.0128124,0.0241501,,best_validation_checkpoint_0.bin
121,95,accepted,1,0.000395992,2.52435e-06,4.5867e-06,4.71968e-06,4.71968e-06,0.517471,0.0409502,0.473532,0.0117801,0.0364256,0.0130999,0.0233255,,best_validation_checkpoint_1.bin
122,96,accepted,1,0.000920812,1.26218e-06,4.41697e-06,4.54088e-06,4.54088e-06,0.467139,0.0341736,0.431058,0.0120575,0.0365521,0.0124172,0.0241349,,best_validation_checkpoint_0.bin
123,96,rejected,1,0.00293621,1.26218e-05,4.41697e-06,4.54088e-06,4.54088e-06,0.566942,0.0368525,0.526904,0.0221784,0.0133551,0.0133549,0,,
124,97,accepted,0,0.00293621,6.31089e-06,4.28527e-06,4.41054e-06,4.41054e-06,0,0,0,0.019765,0.0412055,0.0164748,0.0247305,,best_validation_checkpoint_1.bin
125,98,accepted,1,0.000194728,3.15544e-06,4.1959e-06,4.31809e-06,4.31809e-06,0.501409,0.040254,0.459062,0.0144994,0.0380131,0.0123889,0.025624,,best_validation_checkpoint_0.bin
