iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
51,40,accepted,0,0.0230955,9.09495e-05,2.04451e-05,1.98536e-05,2.02059e-05,2.02059e-05,0,0,0,0.0105111,0.0485021,0.0249452,0.0235568,,best_validation_checkpoint_0.bin
52,41,accepted,1,0.00298793,4.54747e-05,1.99735e-05,1.94055e-05,1.97484e-05,1.97484e-05,0.860929,0.0539102,0.80518,0.0115065,0.0502039,0.0254709,0.024733,,best_validation_checkpoint_1.bin
53,42,accepted,1,0.00158191,2.27374e-05,1.92311e-05,1.86043e-05,1.8935e-05,1.8935e-05,0.870208,0.0520385,0.816426,0.0111357,0.0497369,0.0251807,0.0245561,,best_validation_checkpoint_0.bin
54,42,rejected,1,0.00778785,0.000227374,1.92311e-05,1.86043e-05,1.8935e-05,1.8935e-05,0.842289,0.0531508,0.787301,0.0113723,0.0128499,0.0128499,0,,
55,43,accepted,0,0.00778785,0.000113687,1.89747e-05,1.84507e-05,1.8776e-05,1.8776e-05,0,0,0,0.0115332,0.0498603,0.0253896,0.0244706,,best_validation_checkpoint_1.bin
56,44,accepted,1,0.000917657,5.68434e-05,1.86561e-05,1.81422e-05,1.84623e-05,1.84623e-05,0.878106,0.053582,0.822853,0.0105789,0.050041,0.0254068,0.024634,,best_validation_checkpoint_0.bin
57,45,accepted,1,0.000523588,2.84217e-05,1.80888e-05,1.75721e-05,1.78856e-05,1.78856e-05,0.875913,0.0541589,0.820008,0.0110025,0.0495475,0.0251586,0.0243888,,best_validation_checkpoint_1.bin
58,46,accepted,1,0.0023064,1.42109e-05,1.76621e-05,1.66074e-05,1.6914e-05,1.6914e-05,0.892546,0.0560084,0.834644,0.0109704,0.049432,0.0251884,0.0242436,,best_validation_checkpoint_0.bin
59,46,rejected,1,0.0306377,0.000142109,1.76621e-05,1.66074e-05,1.6914e-05,1.6914e-05,0.859039,0.0522973,0.804922,0.0117636,0.0128731,0.012873,0,,
60,47,accepted,0,0.0306377,7.10543e-05,1.68781e-05,1.639e-05,1.66922e-05,1.66922e-05,0,0,0,0.0108869,0.0495982,0.0251133,0.0244849,,best_validation_checkpoint_1.bin
61,48,accepted,1,0.00400947,3.55271e-05,1.64768e-05,1.60171e-05,1.63167e-05,1.63167e-05,0.860876,0.0551323,0.803997,0.0108943,0.0496673,0.0252225,0.0244446,,best_validation_checkpoint_0.bin
62,49,accepted,1,0.00217555,1.77636e-05,1.5888e-05,1.53464e-05,1.5644e-05,1.5644e-05,0.834316,0.0542229,0.778373,0.010822,0.0503356,0.0255806,0.024755,,best_validation_checkpoint_1.bin
63,49,rejected,1,0.00966345,0.000177636,1.5888e-05,1.53464e-05,1.5644e-05,1.5644e-05,0.888486,0.055765,0.830575,0.01151,0.0130013,0.013001,0,,
64,50,accepted,0,0.00966345,8.88178e-05,1.5638e-05,1.52179e-05,1.55141e-05,1.55141e-05,0,0,0,0.0124304,0.049315,0.0249895,0.0243254,,best_validation_checkpoint_0.bin
65,51,accepted,1,0.00121902,4.44089e-05,1.53691e-05,1.49601e-05,1.52558e-05,1.52558e-05,0.865436,0.0537626,0.809803,0.0108102,0.0497748,0.0253351,0.0244396,,best_validation_checkpoint_1.bin
66,52,accepted,1,0.000634825,2.22045e-05,1.48941e-05,1.44818e-05,1.47777e-05,1.47777e-05,0.893641,0.053283,0.838592,0.0111306,0.0494065,0.0251076,0.0242987,,best_validation_checkpoint_0.bin
67,53,accepted,1,0.00238467,1.11022e-05,1.4504e-05,1.36584e-05,1.39544e-05,1.39544e-05,0.900227,0.0522811,0.846065,0.0114131,0.0484958,0.0253239,0.0231718,,best_validation_checkpoint_1.bin
68,53,rejected,1,0.0273605,0.000111022,1.4504e-05,1.36584e-05,1.39544e-05,1.39544e-05,0.831123,0.053238,0.776111,0.011641,0.0129371,0.012937,0,,
69,54,accepted,0,0.0273605,5.55112e-05,1.38748e-05,1.34883e-05,1.37869e-05,1.37869e-05,0,0,0,0.0108451,0.0497359,0.0252381,0.0244977,,best_validation_checkpoint_0.bin
70,55,accepted,1,0.00353315,2.77556e-05,1.35381e-05,1.31757e-05,1.3475e-05,1.3475e-05,0.863128,0.0537287,0.807704,0.0111788,0.0495601,0.0250528,0.0245072,,best_validation_checkpoint_1.bin
71,56,accepted,1,0.00196708,1.38778e-05,1.30108e-05,1.26114e-05,1.29117e-05,1.29117e-05,0.851796,0.0535373,0.796566,0.0114171,0.0496797,0.0250032,0.0246765,,best_validation_checkpoint_0.bin
72,57,accepted,1,0.00660599,6.93889e-06,1.28638e-05,1.16962e-05,1.19944e-05,1.19944e-05,0.874964,0.0545225,0.818697,0.0112583,0.0492605,0.0251603,0.0241002,,best_validation_checkpoint_1.bin
73,58,accepted,1,0.0413354,3.46945e-06,1.23182e-05,1.06948e-05,1.09819e-05,1.09819e-05,0.835246,0.0524749,0.781053,0.0104509,0.0496592,0.0250965,0.0245627,,best_validation_checkpoint_0.bin
74,58,rejected,1,0.0530321,3.46945e-05,1.23182e-05,1.06948e-05,1.09819e-05,1.09819e-05,0.841797,0.0530441,0.787025,0.0111165,0.0127713,0.012771,0,,
75,59,accepted,0,0.0530321,1.73472e-05,1.0244e-05,9.96912e-06,1.0282e-05,1.0282e-05,0,0,0,0.0111535,0.0493415,0.0250229,0.0243186,,best_validation_checkpoint_1.bin
76,60,accepted,1,0.00202988,8.67362e-06,9.73307e-06,9.50077e-06,9.81268e-06,9.81268e-06,0.851166,0.0529799,0.796391,0.0108187,0.0494387,0.0251226,0.024316,checkpoint_76.bin,best_validation_checkpoint_0.bin
77,61,accepted,1,0.00091116,4.33681e-06,9.07269e-06,8.89527e-06,9.20256e-06,9.20256e-06,0.852007,0.0539779,0.796122,0.0106386,0.0501392,0.025144,0.0249952,,best_validation_checkpoint_1.bin
78,61,rejected,1,0.0034833,4.33681e-05,9.07269e-06,8.89527e-06,9.20256e-06,9.20256e-06,0.926292,0.0552873,0.868542,0.0173309,0.0140896,0.0140894,0,,
79,61,rejected,0,0.0034833,0.000433681,9.07269e-06,8.89527e-06,9.20256e-06,9.20256e-06,0,0,0,0.01185,0.0130624,0.0130622,0,,
80,61,rejected,0,0.0034833,0.00433681,9.07269e-06,8.89527e-06,9.20256e-06,9.20256e-06,0,0,0,0.0139653,0.0130553,0.0130551,0,,
81,61,rejected,0,0.0034833,0.0433681,9.07269e-06,8.89527e-06,9.20256e-06,9.20256e-06,0,0,0,0.0127343,0.0126271,0.0126268,0,,
82,61,rejected,0,0.0034833,0.433681,9.07269e-06,8.89527e-06,9.20256e-06,9.20256e-06,0,0,0,0.0111725,0.0128648,0.0128646,0,,
83,61,rejected,0,0.0034833,4.33681,9.07269e-06,8.89527e-06,9.20256e-06,9.20256e-06,0,0,0,0.0116272,0.01287,0.0128698,0,,
84,62,accepted,0,0.0034833,2.1684,8.94386e-06,8.73573e-06,9.04157e-06,9.04157e-06,0,0,0,0.0108081,0.0496028,0.0251921,0.0244105,,best_validation_checkpoint_0.bin
85,63,accepted,1,0.000841027,1.0842,8.92471e-06,8.72052e-06,9.02725e-06,9.02725e-06,0.840915,0.0550585,0.783949,0.0103447,0.0491438,0.0250245,0.0241193,,best_validation_checkpoint_1.bin
86,64,accepted,1,0.000239085,0.542101,8.91345e-06,8.70744e-06,9.01491e-06,9.01491e-06,0.852334,0.0533379,0.797126,0.0107546,0.0490367,0.024906,0.0241307,,best_validation_checkpoint_0.bin
87,65,accepted,1,0.000140614,0.271051,8.9058e-06,8.69855e-06,9.0068e-06,9.0068e-06,0.848637,0.0529995,0.793836,0.0103978,0.0490961,0.0249778,0.0241183,,best_validation_checkpoint_1.bin
88,66,accepted,1,7.93571e-05,0.135525,8.9007e-06,8.69308e-06,9.00207e-06,9.00207e-06,0.853684,0.0525048,0.79939,0.0110104,0.0478725,0.0249982,0.0228743,,best_validation_checkpoint_0.bin
89,67,accepted,1,4.84751e-05,0.0677626,8.89741e-06,8.68959e-06,8.99932e-06,8.99932e-06,0.838793,0.0531276,0.783783,0.0105851,0.0491891,0.0251632,0.0240258,,best_validation_checkpoint_1.bin
90,68,accepted,1,2.67569e-05,0.0338813,8.89522e-06,8.68698e-06,8.99747e-06,8.99747e-06,0.853752,0.0523984,0.799591,0.0101438,0.049188,0.0250019,0.024186,,best_validation_checkpoint_0.bin
91,69,accepted,1,1.59644e-05,0.0169407,8.89351e-06,8.68475e-06,8.99602e-06,8.99602e-06,0.8827,0.0540321,0.826897,0.0110366,0.0488586,0.02479,0.0240685,,best_validation_checkpoint_1.bin
92,70,accepted,1,1.02245e-05,0.00847033,8.89192e-06,8.68297e-06,8.995e-06,8.995e-06,0.874134,0.0541426,0.818164,0.0108665,0.049885,0.0250606,0.0248244,,best_validation_checkpoint_0.bin
93,71,accepted,1,8.49767e-06,0.00423516,8.89e-06,8.68133e-06,8.99406e-06,8.99406e-06,0.867896,0.0527349,0.813267,0.0106997,0.04885,0.0248865,0.0239635,,best_validation_checkpoint_1.bin
94,72,accepted,1,2.31701e-05,0.00211758,8.88723e-06,8.6791e-06,8.99261e-06,8.99261e-06,0.863811,0.0543463,0.807405,0.0117204,0.0498536,0.0253275,0.0245259,,best_validation_checkpoint_0.bin
95,73,accepted,1,7.72352e-06,0.00105879,8.88268e-06,8.67515e-06,8.98945e-06,8.98945e-06,0.839824,0.0525347,0.785445,0.0106621,0.049215,0.0248966,0.0243183,,best_validation_checkpoint_1.bin
96,74,accepted,1,1.7912e-05,0.000529396,8.87466e-06,8.66779e-06,8.98297e-06,8.98297e-06,0.869612,0.054085,0.813639,0.0108033,0.0491729,0.0249194,0.0242533,,best_validation_checkpoint_0.bin
