iteration,accepted_updates,status,validation_failures,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,mean_objective_gradient_norm,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,cumulative_phase_seconds,checkpoint
13,11,accepted,0,4.8828125000000003e-05,3.2001820700974073e-05,3.0916085066387582e-05,3.1059217973209335e-05,3.1059217973209335e-05,0.0030007441047094499,1.0561237999999999,0.063711500000000004,0.98891059999999986,0.010836800000000001,0.053142000000000002,0.028829299999999999,0.0243127,12.708152600000002,
14,12,accepted,0,2.4414062500000001e-05,2.8247278658579158e-05,2.7394500362517345e-05,2.7605610220502018e-05,2.7605610220502018e-05,0.0047141512073816437,1.0951446,0.063630599999999995,1.0280464,0.012784500000000001,0.054207600000000002,0.028484300000000001,0.025723200000000002,13.870289300000001,
15,13,accepted,0,1.2207031250000001e-05,2.7265939456584429e-05,2.6608621967834776e-05,2.6976285668435525e-05,2.6976285668435525e-05,0.0090348128504065765,1.2005029,0.065279000000000004,1.1320309,0.013768600000000001,0.0549785,0.0287123,0.026266100000000001,15.139539300000001,
16,14,accepted,0,6.1035156250000003e-06,2.4548035726890629e-05,2.3908270931213593e-05,2.4266874293417717e-05,2.4266874293417717e-05,0.01446974469328241,1.1068960999999999,0.068045400000000006,1.0358971000000001,0.0118809,0.060807300000000002,0.031781700000000003,0.029025499999999999,16.319123600000001,
17,15,accepted,0,3.0517578125000002e-06,1.9411799635360295e-05,1.8741594617710582e-05,1.8962680266902795e-05,1.8962680266902795e-05,0.013705417871909913,1.1526154,0.0631525,1.0860711000000001,0.016688499999999998,0.058916999999999997,0.029949300000000002,0.0289676,17.547344500000001,
18,15,rejected,0,3.0517578125e-05,1.9411799635360295e-05,1.8741594617710582e-05,1.8962680266902795e-05,1.8962680266902795e-05,0.0057798455089679273,1.2261328,0.0711011,1.1514025000000001,0.013741099999999999,0.0146716,0.014671500000000001,0,18.80189,
19,16,accepted,0,1.52587890625e-05,1.1232844491766735e-05,1.0985486305794e-05,1.1133110325491337e-05,1.1133110325491337e-05,0.0057798455089679273,0,0,0,0.014960899999999999,0.057591700000000003,0.03006,0.0275316,18.874442600000002,
20,17,accepted,0,7.62939453125e-06,9.8676946878945001e-06,9.6381610998710039e-06,9.7792937146167175e-06,9.7792937146167175e-06,0.0067011317984451658,1.2338355999999999,0.073298600000000005,1.1574450000000001,0.012195299999999999,0.056831199999999998,0.0295301,0.027300899999999999,20.177304700000001,milestone_3.bin
21,18,accepted,0,3.814697265625e-06,9.6484310919799231e-06,9.3980876100561308e-06,9.5649753455661718e-06,9.5649753455661718e-06,0.0039755522375193343,1.1433703,0.067279400000000003,1.0717576,0.0150968,0.059061599999999999,0.031393299999999999,0.0276682,21.3948334,
22,18,rejected,0,3.814697265625e-05,9.6484310919799231e-06,9.3980876100561308e-06,9.5649753455661718e-06,9.5649753455661718e-06,0.0079210618942626605,1.2089502999999999,0.070975900000000008,1.1342901000000001,0.0120266,0.015764199999999999,0.015764199999999999,0,22.631574499999999,
