iteration,accepted_updates,status,validation_failures,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,mean_objective_gradient_norm,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,cumulative_phase_seconds,checkpoint
13,10,rejected,0,0.0009765625,7.9748469672224814e-05,6.0987542940154726e-05,6.1595205805522278e-05,6.1595205805522278e-05,0.016882841203924713,0.91492969999999996,0.054752400000000007,0.8575102,0.0099462000000000005,0.011790999999999999,0.0117909,0,10.797286400000001,
14,11,accepted,0,0.00048828125,7.2229409320367154e-05,5.4315592280397047e-05,5.4596918944384451e-05,5.4596918944384451e-05,0.016882841203924713,0,0,0,0.0095954999999999999,0.048304199999999999,0.0233166,0.024987499999999999,10.855186100000001,
15,12,accepted,0,0.000244140625,6.8291410670645128e-05,5.1494729283588487e-05,5.1742471875359384e-05,5.1742471875359384e-05,0.0012062071716945513,0.89572759999999996,0.052772599999999996,0.84030660000000001,0.0097731999999999992,0.046452100000000003,0.023397000000000001,0.023054999999999999,11.807139000000001,
16,13,accepted,0,0.0001220703125,6.2741664332498193e-05,4.7782299601001408e-05,4.8016122761204267e-05,4.8016122761204267e-05,0.0031894979113976322,0.95469130000000002,0.054140599999999997,0.89738240000000002,0.010544599999999999,0.048579400000000002,0.024880200000000002,0.023699000000000001,12.8209543,
17,14,accepted,0,6.103515625e-05,5.6839954312096159e-05,4.4361000758836839e-05,4.4606871045882571e-05,4.4606871045882571e-05,0.0081471433286961371,0.93738540000000004,0.053215899999999997,0.88162810000000003,0.0105056,0.046260799999999998,0.0234602,0.022800500000000001,13.815106100000001,
18,15,accepted,0,3.0517578125e-05,4.8618793534975923e-05,3.8189786809345605e-05,3.8328316631184809e-05,3.8328316631184809e-05,0.014564148530785938,0.88673970000000002,0.053204600000000005,0.83105980000000002,0.0098435999999999992,0.050723499999999998,0.0232517,0.027471700000000002,14.762412900000001,
19,16,accepted,0,1.52587890625e-05,4.2952193456190362e-05,3.1749318336010198e-05,3.1717818234512997e-05,3.1717818234512997e-05,0.012957211924497707,0.8968661,0.052680199999999996,0.84117229999999998,0.0119676,0.049591700000000002,0.0238908,0.0257007,15.7208383,
20,17,accepted,0,7.62939453125e-06,3.3667117051054113e-05,2.4648816947442703e-05,2.4851943658294223e-05,2.4851943658294223e-05,0.020858895025876255,0.95684329999999995,0.0537435,0.90041150000000003,0.0104346,0.045962099999999999,0.023202199999999999,0.0227598,16.7340783,
21,17,rejected,0,7.62939453125e-05,3.3667117051054113e-05,2.4648816947442703e-05,2.4851943658294223e-05,2.4851943658294223e-05,0.03082351186816612,0.91142769999999995,0.0537814,0.85458889999999998,0.0107464,0.011698800000000001,0.011698800000000001,0,17.667951200000001,
22,18,accepted,0,3.814697265625e-05,1.941933287013656e-05,1.5722486532767307e-05,1.5807166890933337e-05,1.5807166890933337e-05,0.03082351186816612,0,0,0,0.011287500000000001,0.048550900000000001,0.025538000000000002,0.0230128,17.727789600000001,
