iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
44,32,accepted,1,0.001296,0.232831,0.00150039,0.000802908,0.000806167,0.000805197,0.872676,0.054381,0.816491,0.0103336,0.0474781,0.0247883,0.0226896,,
45,33,accepted,1,0.000943736,0.116415,0.00149873,0.000801803,0.000805136,0.000805136,0.934541,0.0561246,0.876427,0.0112951,0.0484167,0.0248369,0.0235797,,best_validation_checkpoint_0.bin
46,34,accepted,1,0.000883961,0.0582077,0.00149577,0.000800007,0.000803426,0.000803426,0.928191,0.0580565,0.868135,0.0132172,0.0496492,0.0262676,0.0233816,,best_validation_checkpoint_1.bin
47,35,accepted,1,0.000837198,0.0291038,0.00149023,0.000796843,0.00080037,0.00080037,0.896981,0.0592304,0.835949,0.0111777,0.0490998,0.0259247,0.023175,,best_validation_checkpoint_0.bin
48,36,accepted,1,0.0008248,0.0145519,0.00147967,0.000790928,0.000794592,0.000794592,0.865351,0.0554975,0.80801,0.0115453,0.050452,0.024872,0.0255799,,best_validation_checkpoint_1.bin
49,37,accepted,1,0.000840572,0.00727596,0.0014595,0.000779809,0.000783632,0.000783632,0.89544,0.0560821,0.837469,0.011256,0.0473696,0.0263179,0.0210516,,best_validation_checkpoint_0.bin
50,38,accepted,1,0.000987899,0.00363798,0.0014217,0.000759239,0.000763236,0.000763236,0.887925,0.0559871,0.830121,0.0113517,0.0494466,0.025146,0.0243006,,best_validation_checkpoint_1.bin
51,39,accepted,1,0.00201698,0.00181899,0.00135364,0.000722743,0.000726931,0.000726931,0.912362,0.0562426,0.854189,0.0116719,0.0513996,0.0260381,0.0253615,,best_validation_checkpoint_0.bin
52,40,accepted,1,0.00525708,0.000909495,0.0012401,0.000662747,0.00066717,0.00066717,0.896441,0.0607773,0.83387,0.010278,0.0478609,0.0255727,0.0222881,,best_validation_checkpoint_1.bin
53,41,accepted,1,0.00894885,0.000454747,0.00107744,0.000575442,0.000580243,0.000580243,0.92997,0.0565587,0.871654,0.0109477,0.0477856,0.0253731,0.0224124,,best_validation_checkpoint_0.bin
