iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
98,75,accepted,1,7.3267e-08,1.56387e-09,3.71934e-10,3.71934e-10,5.62514e-10,5.60652e-10,0.897408,0.0569136,0.838657,0.0109575,0.0449462,0.0224184,0.0225276,,
99,76,accepted,1,3.08813e-07,7.81936e-10,3.71629e-10,3.71629e-10,5.6247e-10,5.60652e-10,0.907367,0.0571845,0.848437,0.0115083,0.0451247,0.0225823,0.0225424,,
100,77,accepted,1,1.22255e-06,3.90968e-10,3.715e-10,3.715e-10,5.62599e-10,5.60652e-10,0.915732,0.0558097,0.858131,0.0123881,0.0442389,0.0216462,0.0225926,,
101,77,rejected,1,4.60531e-06,3.90968e-09,3.715e-10,3.715e-10,5.62599e-10,5.60652e-10,0.913863,0.0567547,0.85533,0.0116054,0.0223474,0.0223472,0,,
102,78,accepted,0,4.60531e-06,1.95484e-09,3.70795e-10,3.70795e-10,5.62603e-10,5.60652e-10,0,0,0,0.0108255,0.0448562,0.0223676,0.0224885,,
103,79,accepted,1,1.64629e-07,9.7742e-10,3.70546e-10,3.70546e-10,5.62564e-10,5.60652e-10,0.882214,0.0563287,0.824083,0.0105999,0.0449439,0.0224352,0.0225087,,
104,80,accepted,1,6.9795e-07,4.8871e-10,3.70235e-10,3.70235e-10,5.62503e-10,5.60652e-10,0.890065,0.0563472,0.831988,0.0113658,0.0452554,0.0224589,0.0227963,,
105,80,rejected,1,2.72048e-06,4.8871e-09,3.70235e-10,3.70235e-10,5.62503e-10,5.60652e-10,0.893561,0.0584741,0.833401,0.0110934,0.0224449,0.0224447,0,,
106,81,accepted,0,2.72048e-06,2.44355e-09,3.69917e-10,3.69917e-10,5.6265e-10,5.60652e-10,0,0,0,0.0113992,0.0445769,0.0222687,0.0223081,,
107,82,accepted,1,9.92187e-08,1.22177e-09,3.69719e-10,3.69719e-10,5.62619e-10,5.60652e-10,0.916175,0.0581695,0.856316,0.0110315,0.0447755,0.022276,0.0224993,,
