model,beta,partition,count,rmse,signed_mean,max_abs,flux_rmse,oob,root_min,root_max
mse_125k,10.0,near_front,64,5.919594769105631e-06,4.340331062712213e-06,1.0213287440996588e-05,1.624496046344971e-05,0,0.9089390484594964,0.9984728063894982
residual_62k,10.0,near_front,64,5.021216790334248e-06,-2.2652190338600525e-06,7.9701823109124e-06,2.512768832290094e-05,0,0.9089390484594964,0.9984728063894982
residual_125k,10.0,near_front,64,4.332999046311988e-06,-1.5610341064630634e-06,6.604352482675324e-06,2.0014034930568714e-05,0,0.9089390484594964,0.9984728063894982
residual_continued_best,10.0,near_front,64,2.3513452058776665e-06,-8.009073123958071e-07,5.902720345840606e-06,6.289199194075694e-06,0,0.9089390484594964,0.9984728063894982
mse_125k,50.0,sharp_front,1,4.966357162183854e-07,-4.966357162183854e-07,4.966357162183854e-07,0.0038064857337828384,0,0.9999996542856746,0.9999996542856746
residual_62k,50.0,sharp_front,1,9.26342744733688e-08,-9.26342744733688e-08,9.26342744733688e-08,0.0009521389767267463,0,0.9999996542856746,0.9999996542856746
residual_125k,50.0,sharp_front,1,1.1202274907695653e-07,-1.1202274907695653e-07,1.1202274907695653e-07,0.0011304416645422366,0,0.9999996542856746,0.9999996542856746
residual_continued_best,50.0,sharp_front,1,3.508676598151794e-07,-3.508676598151794e-07,3.508676598151794e-07,0.0029391225772795737,0,0.9999996542856746,0.9999996542856746
mse_125k,50.0,near_front,64,7.698794723546008e-06,-3.6172207059769618e-06,1.7065358370760286e-05,0.004069093467071515,1,0.9803787648219204,0.9999996715643115
residual_62k,50.0,near_front,64,1.3999913651553186e-06,6.644947941544799e-08,3.579719134449988e-06,0.0006623260217080129,0,0.9803787648219204,0.9999996715643115
residual_125k,50.0,near_front,64,1.4496306009187655e-06,-1.4448887283163847e-07,3.4415739407211987e-06,0.0008092810259465593,0,0.9803787648219204,0.9999996715643115
residual_continued_best,50.0,near_front,64,1.925390361965648e-06,-8.301067671336038e-07,3.269009387296684e-06,0.0012927302470674598,0,0.9803787648219204,0.9999996715643115
mse_125k,100.0,sharp_front,1,2.3731378340219322e-07,2.3731378340219322e-07,2.3731378340219322e-07,0.00999999989731104,1,0.9999999897310982,0.9999999897310982
residual_62k,100.0,sharp_front,1,1.1305541569583966e-07,-1.1305541569583966e-07,1.1305541569583966e-07,0.00633492324740792,0,0.9999999897310982,0.9999999897310982
residual_125k,100.0,sharp_front,1,3.926916326557617e-07,-3.926916326557617e-07,3.926916326557617e-07,0.010609559387289358,0,0.9999999897310982,0.9999999897310982
residual_continued_best,100.0,sharp_front,1,2.3792280479106864e-08,-2.3792280479106864e-08,2.3792280479106864e-08,0.0026756954529743027,0,0.9999999897310982,0.9999999897310982
mse_125k,100.0,near_front,64,5.649958282836162e-06,-1.195200172592753e-06,1.2198809174579495e-05,0.004561036248848837,9,0.9857352187532368,0.9999999902393071
residual_62k,100.0,near_front,64,1.8923100839966864e-06,5.458188279353765e-07,4.000226551115205e-06,0.01179555182685043,16,0.9857352187532368,0.9999999902393071
residual_125k,100.0,near_front,64,1.999870429492402e-06,7.290098637483672e-07,3.900927869171511e-06,0.01215001496015564,16,0.9857352187532368,0.9999999902393071
residual_continued_best,100.0,near_front,64,1.5345978316687486e-06,3.352712518844142e-07,3.016775047770537e-06,0.0115502412235497,16,0.9857352187532368,0.9999999902393071
mse_125k,500.0,sharp_front,1,2.5458188346316746e-07,2.5458188346316746e-07,2.5458188346316746e-07,0.0019999999999936735,1,0.9999999999968435,0.9999999999968435
residual_62k,500.0,sharp_front,1,3.528655201368025e-08,-3.528655201368025e-08,3.528655201368025e-08,0.010764691283528416,0,0.9999999999968435,0.9999999999968435
residual_125k,500.0,sharp_front,1,1.3226300266122593e-07,1.3226300266122593e-07,1.3226300266122593e-07,0.0019999999999936735,1,0.9999999999968435,0.9999999999968435
residual_continued_best,500.0,sharp_front,1,5.231504773828277e-08,-5.231504773828277e-08,5.231504773828277e-08,0.011796130842768648,0,0.9999999999968435,0.9999999999968435
mse_125k,500.0,near_front,64,5.465200098629636e-06,-3.1509498058281127e-06,1.0032454138775293e-05,0.009884686876597189,8,0.989231617918163,0.9999999999969985
residual_62k,500.0,near_front,64,2.5475138099691406e-06,-4.0728017945690365e-07,5.430345807244663e-06,0.008331697623281715,0,0.989231617918163,0.9999999999969985
residual_125k,500.0,near_front,64,2.9364629909678312e-06,8.223797040227132e-08,7.153785354319098e-06,0.007172560866871848,7,0.989231617918163,0.9999999999969985
residual_continued_best,500.0,near_front,64,3.1430424850219175e-06,-9.505917916499684e-07,5.444983945501747e-06,0.009680531448780713,0,0.989231617918163,0.9999999999969985
mse_125k,1000.0,sharp_front,1,4.2667712119026646e-07,4.2667712119026646e-07,4.2667712119026646e-07,0.0009999999999998899,1,0.9999999999999019,0.9999999999999019
residual_62k,1000.0,sharp_front,1,2.7782127165476567e-07,-2.7782127165476567e-07,2.7782127165476567e-07,0.018160693502389358,0,0.9999999999999019,0.9999999999999019
residual_125k,1000.0,sharp_front,1,2.679065722599461e-07,-2.679065722599461e-07,2.679065722599461e-07,0.01802457901959642,0,0.9999999999999019,0.9999999999999019
