model,time,cells,rmse,mae,q99_abs_error,max_abs_error,prediction_min,prediction_max,out_of_bounds_count,volume_weighted_rmse,volume_weighted_bias
residual_62k,400000000.0,19299,0.004219692173375289,0.001806346917140263,0.01865411832455321,0.05103604041881438,-7.326991217082579e-06,1.0000733695543418,5708,0.004257883545522907,0.00019007806715474416
residual_125k,400000000.0,19299,0.00574940435883183,0.0021627465349907983,0.022556141459911284,0.08778996178556375,-7.69239280185019e-06,1.0000500251890547,5844,0.005883812267144956,0.0005151661504867114
mse_125k,500000000.0,19299,0.011020207940612266,0.005127048341945113,0.045725797235563206,0.11991273574820449,-5.249022262954206e-06,1.000258213200162,1532,0.011516291516856673,-0.005266153473972474
residual_62k,500000000.0,19299,0.004699840658691939,0.0019591470093789174,0.019265675728412847,0.05526734753836515,-7.32699115879587e-06,1.000716296550099,5661,0.004726427393003179,0.0002549566351235391
residual_125k,500000000.0,19299,0.0064387483251031625,0.0023733973881899756,0.02612205517485062,0.09595960788599245,-7.69239280185019e-06,1.0000903411137403,5794,0.006392820573328164,0.0005713667993868442
mse_125k,600000000.0,19299,0.013596002808744269,0.006378369720558942,0.05743234165539042,0.11957647219166645,-5.249022262954206e-06,1.000505074469765,1643,0.013820967995597672,-0.006470492209990332
residual_62k,600000000.0,19299,0.006828926542821439,0.0025204043271816194,0.030298558063788162,0.08587941506230024,-7.326980675181893e-06,1.0008584335684092,5862,0.006672802631259786,0.0007467400193943957
residual_125k,600000000.0,19299,0.00790825293449902,0.0028947979757487784,0.03677360358419415,0.10397725388844925,-7.69239280185019e-06,1.0002536018864772,5868,0.007692635095014073,0.0009712862416940964
mse_125k,700000000.0,19299,0.016093055339551545,0.007478443342952572,0.06596396431309062,0.1288606960691967,-5.249022262954206e-06,1.0004844852195256,1726,0.016162415093073774,-0.007412019141329649
residual_62k,700000000.0,19299,0.008435431251097351,0.0028773853883914333,0.0407420118145642,0.1053521158598979,-7.326980675181893e-06,1.0008474658994893,5998,0.00810249768620135,0.0011365118537945056
residual_125k,700000000.0,19299,0.008969838692995644,0.0031642050669246605,0.044375811567056805,0.10981255789718802,-7.69239280185019e-06,1.0001213971264349,6008,0.008709600407291568,0.0012265886739069069
mse_125k,800000000.0,19299,0.018018347984708295,0.00816012153062327,0.07569121211662687,0.14746768365649732,-5.249022262954206e-06,1.0004766862988248,1789,0.01794913342699089,-0.007926696772191318
residual_62k,800000000.0,19299,0.009506808008436412,0.003113525847400424,0.044385686252450866,0.14196320561322362,-7.326980675181893e-06,1.0012424536020426,6398,0.008996076819749095,0.0015743227570073676
residual_125k,800000000.0,19299,0.010458133923435496,0.003473944593021566,0.055074932330497636,0.13846387362858303,-7.69239280185019e-06,1.00040789469151,6341,0.00960744537587091,0.0015379299263923918
mse_125k,900000000.0,19299,0.01937968216135942,0.00836258194734768,0.08345169041018213,0.1509290799785219,-5.249022262954206e-06,1.0006097262804992,1827,0.018815515720453,-0.007873195193767463
residual_62k,900000000.0,19299,0.009621093728920197,0.0030110032719786644,0.04880552501093269,0.1311110955526057,-7.326980675181893e-06,1.0011110790778581,6895,0.00900748752395498,0.001704550898028655
residual_125k,900000000.0,19299,0.010223796879613974,0.0032836833568627953,0.05339040790325635,0.13638877926017567,-7.69239280185019e-06,1.0003246081108659,6775,0.009510374898753655,0.0015573891985154133
mse_125k,1000000000.0,19299,0.018758998102387278,0.00759768639217533,0.08469086500723771,0.14941306095789397,-5.249022262954206e-06,1.000449687692869,1861,0.018043022699013037,-0.007032478332196464
residual_62k,1000000000.0,19299,0.009412118259022294,0.002714374909578392,0.04883737311945018,0.12879486871977597,-7.326980675181893e-06,1.0010464526178815,7541,0.008375571814272422,0.0016191663850567066
residual_125k,1000000000.0,19299,0.009740159086802284,0.00285934065015826,0.05065910976262486,0.13982854703681058,-7.69239280185019e-06,1.0002271586513918,7581,0.008769619854536797,0.0014946922488290697
