beta,N,h,dt,time,method,saturation_min,saturation_max,total_L1,discretization_L1,vs_discrete_L1,vs_discrete_over_discretization_L1,total_L2,discretization_L2,vs_discrete_L2,vs_discrete_over_discretization_L2,total_Linf,discretization_Linf,vs_discrete_Linf,vs_discrete_over_discretization_Linf
1,3200,0.3125,0.3125,200.0,SRDM,0.05,0.25,9.600201293031937e-05,9.600201293094697e-05,1.711250498942496e-15,1.7825152272310964e-11,0.0020831982379865264,0.0020831982379810174,2.15558985552851e-14,1.0347502298281764e-11,0.08030453189839053,0.0803045318977474,6.431244425897376e-13,8.008569720680703e-12
1,3200,0.3125,0.3125,200.0,CRIS,0.05093263934747642,0.25275817153076174,0.0015618974184024867,9.600201293094697e-05,0.0015593810132376493,16.243211633065364,0.006515356902873078,0.0020831982379810174,0.005507873057345216,2.6439505165304413,0.18621848920823125,0.0803045318977474,0.13990176197722834,1.742140308536593
10,2000,0.5,5.0,100.0,SRDM,0.05,0.25000000000000006,0.0010395574251599554,0.0010395574251600322,1.5784248907912967e-16,1.5183623844044113e-13,0.0076403346409976295,0.007640334640997743,6.121571288546461e-16,8.012176921804372e-14,0.10800128767206225,0.1080012876720672,5.717648576819556e-15,5.294055932166756e-14
10,2000,0.5,5.0,100.0,CRIS,0.0502375665856703,0.2499990604736989,0.001277517370381818,0.0010395574251600322,0.0002593251248381431,0.2494572387843047,0.007628153585271365,0.007640334640997743,0.00029439507261404344,0.03853169873402282,0.10657569857380868,0.1080012876720672,0.0014731126529270167,0.013639769346083581
10,2000,0.5,5.0,200.0,SRDM,0.05,0.25000000000000006,0.001085848138802148,0.0010858481388023639,3.3070421401326656e-16,3.045584388789548e-13,0.007933210637077201,0.007933210637077531,1.1799308953796502e-15,1.4873308542508562e-13,0.10585739930440158,0.10585739930441071,1.1518563880485999e-14,1.0881208074423249e-13
10,2000,0.5,5.0,200.0,CRIS,0.05045863158897763,0.2499990604736989,0.0015164397476628189,0.0010858481388023639,0.00048241820212505115,0.44427778147424396,0.007905827830766978,0.007933210637077531,0.0005978118070979586,0.0753555949093245,0.10240096309900062,0.10585739930441071,0.003613275429749263,0.034133423393093984
10,4000,0.25,2.5,100.0,SRDM,0.05,0.25000000000000006,0.0005429240694010797,0.0005429240694012153,1.931076826222622e-16,3.5568082814091927e-13,0.005609627038058648,0.0056096270380588805,8.352599612642888e-16,1.4889759258457169e-13,0.10585739930442431,0.10585739930443344,1.1518563880485999e-14,1.0881208074420913e-13
10,4000,0.25,2.5,100.0,CRIS,0.05045863158897224,0.2499990604736989,0.0010188713287343372,0.0005429240694012153,0.0005019228104717333,0.9244806755856267,0.005602948319995737,0.0056096270380588805,0.0005664190183932382,0.10097266976045491,0.10239310580928748,0.10585739930443344,0.0036213260243922185,0.03420947471019679
10,4000,0.25,2.5,200.0,SRDM,0.05,0.25000000000000006,0.0005418613082779349,0.000541861308278175,2.6314714296482576e-16,4.856356025880594e-13,0.0055882127331778175,0.005588212733177898,7.568194673831694e-16,1.3543139882450078e-13,0.10543181565866412,0.10543181565866762,4.9960036108132044e-15,4.738610996691566e-14
10,4000,0.25,2.5,200.0,CRIS,0.05085572016970705,0.2499990604736989,0.0013943941217139117,0.000541861308278175,0.0009284337076503407,1.7134157642673227,0.005598789414892706,0.005588212733177898,0.0011933250330806676,0.2135432364619464,0.09530279662768874,0.10543181565866762,0.010400339063150854,0.09864516700368363
10,8000,0.125,1.25,100.0,SRDM,0.05,0.25000000000000006,0.00027093065413897314,0.0002709306541391209,1.593291470980418e-16,5.880809154073331e-13,0.003951463118343191,0.003951463118343247,5.365897847150857e-16,1.3579521525182924e-13,0.10543181565866412,0.10543181565866762,4.9960036108132044e-15,4.738610996691566e-14
10,8000,0.125,1.25,100.0,CRIS,0.05085572016970659,0.2499990604736989,0.0012026267622123586,0.0002709306541391209,0.0009696566629945224,3.578984689184011,0.004027452159512778,0.003951463118343247,0.0011221422113815757,0.28398144630844047,0.0953001052330726,0.10543181565866762,0.01040303690634245,0.09867075551484358
10,8000,0.125,1.25,200.0,SRDM,0.05,0.25000000000000006,0.00026975941098992195,0.0002697594109900845,3.7462827978673727e-16,1.388749621048466e-12,0.003923208302910422,0.00392320830290978,2.6186558334596298e-15,6.674781534076117e-13,0.10577201302038176,0.10577201302033508,5.037636974236648e-14,4.762731492373264e-13
10,8000,0.125,1.25,200.0,CRIS,0.05149736271490356,0.2499990604736989,0.001935998053685786,0.0002697594109900845,0.0017935963337444663,6.648873999099861,0.0045350621620236405,0.00392320830290978,0.002645975527169221,0.6744417636980284,0.11837059423869536,0.10577201302033508,0.037449607055207654,0.3540596986464446
10,10000,0.1,1.0,100.0,SRDM,0.05,0.25,0.00020811224294547083,0.0002081122429456141,1.5787440799108764e-16,7.586022127124203e-13,0.003426398110292438,0.003426398110292411,5.689939161585277e-16,1.6606182289482102e-13,0.10858889015443625,0.10858889015443164,4.6074255521944e-15,4.242999026550383e-14
10,10000,0.1,1.0,100.0,CRIS,0.051033813334703394,0.2499990604736989,0.0013614135712419991,0.0002081122429456141,0.0011965085399921636,5.749342388784147,0.0036006242049897532,0.003426398110292411,0.0014128091981167492,0.4123307195018793,0.09378793207387177,0.10858889015443164,0.01531436203973413,0.1410306525644984
10,10000,0.1,1.0,200.0,SRDM,0.05,0.25,0.00021534026891264295,0.0002153402689127673,4.040601186972026e-16,1.8763797441939865e-12,0.0034975729873881205,0.003497572987387157,3.74236036447514e-15,1.0699877823767306e-12,0.10594184676217298,0.10594184676209682,8.278100427361323e-14,7.813815484971334e-13
10,10000,0.1,1.0,200.0,CRIS,0.05175547828505662,0.2499990604736989,0.002289804733170141,0.0002153402689127673,0.0022202662848418786,10.310502053572208,0.004867527349245815,0.003497572987387157,0.003545615596617194,1.0137359847537954,0.1405754583643502,0.10594184676209682,0.058855535878417256,0.5555456854606597
10,16000,0.0625,0.625,100.0,SRDM,0.05,0.25000000000000006,0.00013487970549496659,0.00013487970549507568,2.1506971550899755e-16,1.5945298421255043e-12,0.0027741271949955106,0.0027741271949950565,1.852085292585518e-15,6.6762810873523e-13,0.10577201302038176,0.10577201302033508,5.037636974236648e-14,4.762731492373264e-13
10,16000,0.0625,0.625,100.0,CRIS,0.05149736271489822,0.2499990604736989,0.001927904660730503,0.00013487970549507568,0.001856704147838329,13.76563020376787,0.0035205050783265667,0.0027741271949950565,0.002368786816887691,0.8538854386926956,0.1183708429297741,0.10577201302033508,0.03744984630287296,0.35406196056487155
10,16000,0.0625,0.625,200.0,SRDM,0.05,0.25000000000000006,0.00013371484988289572,0.00013371484988296912,4.520173298161456e-16,3.3804572208080364e-12,0.0027417368079794727,0.0027417368079777995,6.290426127225867e-15,2.2943216536766874e-12,0.10645036434605885,0.10645036434589626,1.7830181775480014e-13,1.674976115398085e-12
10,16000,0.0625,0.625,200.0,CRIS,0.052342349845852836,0.2499990604736989,0.0035159632583149987,0.00013371484988296912,0.003507470384391579,26.23097126056988,0.007800617202512471,0.0027417368079777995,0.006829430475468284,2.4909139548319414,0.19592050502610114,0.10645036434589626,0.14120608024152542,1.3264969181570399
100,8000,0.125,12.5,100.0,SRDM,0.05,0.25,0.002395889121420908,0.002395889121421657,1.7762197962456484e-15,7.413614346191809e-13,0.011889844039610447,0.011889844039608886,2.958199398156401e-15,2.4880052154609343e-13,0.11160374761891013,0.11160374761890267,2.1288526497187377e-14,1.9075100031481088e-13
100,8000,0.125,12.5,100.0,CRIS,0.04967262533330052,0.2499990308716482,0.00291348052183625,0.002395889121421657,0.0006554360843485347,0.27356695202974013,0.011851530421477432,0.011889844039608886,0.0008921474878162952,0.07503441465205647,0.10839177328199275,0.11160374761890267,0.003544617699831748,0.03176074079461634
100,8000,0.125,12.5,200.0,SRDM,0.05,0.25,0.0024896047970207748,0.002489604797022308,2.696443762717493e-15,1.0830810440044841e-12,0.012073265539011035,0.01207326553900952,3.8177953417164776e-15,3.162189491634163e-13,0.11337398939519523,0.11337398939519515,2.270406085358445e-14,2.0025811012474314e-13
100,8000,0.125,12.5,200.0,CRIS,0.049220291704925104,0.2499990308716482,0.0035511527661558867,0.002489604797022308,0.0015015791572384161,0.6031395661810983,0.011950811643368434,0.01207326553900952,0.002241953613136144,0.18569570973919552,0.10329510718608499,0.11337398939519515,0.011240023510197747,0.09914111314384166
100,16000,0.0625,6.25,100.0,SRDM,0.05,0.25,0.0012448023985103932,0.0012448023985129134,3.1020273155712983e-15,2.491983723101027e-12,0.00853708793370062,0.00853708793369955,3.9357341507202046e-15,4.61016002328402e-13,0.11337398939519523,0.11337398939519515,2.270406085358445e-14,2.0025811012474314e-13
100,16000,0.0625,6.25,100.0,CRIS,0.04922029170492107,0.2499990308716482,0.002428889062219254,0.0012448023985129134,0.0014063731318858079,1.1297962902111314,0.008528345233347017,0.00853708793369955,0.0019558673754442625,0.22910240478180088,0.10316235770613576,0.11337398939519515,0.011370128545097946,0.10028868707675394
100,16000,0.0625,6.25,200.0,SRDM,0.05,0.25,0.0012536197702035182,0.0012536197702080207,5.659848457961747e-15,4.514804721867599e-12,0.008552701154440663,0.008552701154440725,7.591854165811895e-15,8.876557275557394e-13,0.11382046860603491,0.11382046860606025,3.35009797680641e-14,2.9433176807603105e-13
100,16000,0.0625,6.25,200.0,CRIS,0.04778897312653538,0.2499990308716482,0.00396518325717846,0.0012536197702080207,0.0034192346816299558,2.7274894372977077,0.009510885178101516,0.008552701154440725,0.005494262325747859,0.642400830630582,0.12387950377813212,0.11382046860606025,0.04128503583660238,0.3627206630073934
100,20000,0.05,5.0,100.0,SRDM,0.05,0.25,0.0010000922217392701,0.0010000922217425713,3.795519107341327e-15,3.795169110232629e-12,0.007646546268766864,0.007646546268766031,4.684280699825711e-15,6.126008442477706e-13,0.11360147163896918,0.1136014716389722,2.2898349882893854e-14,2.01567370145215e-13
100,20000,0.05,5.0,100.0,CRIS,0.048935565108830015,0.24999903087164854,0.002563877036354858,0.0010000922217425713,0.0018240504322375674,1.8238822306400129,0.007749697327846229,0.007646546268766031,0.0025521907554177914,0.33377039328758995,0.10041136537205386,0.1136014716389722,0.017011054871405168,0.14974326147346617
