method,scheme,u1_initial,u2_initial,initial_exact_domain,map_converged,lower_capture,nonlinear_updates,lower_max_error,physical_residual_inf,status
exact,picard,1.8666666666666667,0.0,True,True,True,28,4.3717029996059864e-11,3.088485023283738e-11,map_converged
exact,picard,1.9,0.0,True,True,True,28,4.3717029996059864e-11,3.133981962832877e-11,map_converged
exact,picard,1.9333333333333333,0.0,True,True,True,28,4.3717029996059864e-11,3.1808333744720585e-11,map_converged
exact,picard,1.9666666666666666,0.0,True,True,True,28,4.3717029996059864e-11,3.229150280503745e-11,map_converged
exact,picard,2.0,0.0,True,True,True,28,4.3717029996059864e-11,3.2790659076908923e-11,map_converged
exact,picard,2.033333333333333,0.0,True,True,True,28,4.3717029996059864e-11,3.330735687256947e-11,map_converged
exact,picard,2.0666666666666664,0.0,True,True,True,28,4.3717029996059864e-11,3.384315050425357e-11,map_converged
exact,picard,2.1,0.0,True,True,True,28,4.3717029996059864e-11,3.440003837340555e-11,map_converged
exact,picard,2.1333333333333333,0.0,True,True,True,28,4.3717029996059864e-11,3.498001888146973e-11,map_converged
exact,picard,2.1666666666666665,0.0,True,True,True,28,4.3717029996059864e-11,3.558620065291507e-11,map_converged
exact,picard,2.2,0.0,True,True,True,28,4.3717029996059864e-11,3.622169231221051e-11,map_converged
exact,picard,2.2333333333333334,0.0,True,True,True,28,4.476152781762721e-11,3.72426534056558e-11,map_converged
exact,picard,2.2666666666666666,0.0,True,True,True,28,4.758904381674256e-11,3.8904823806973354e-11,map_converged
exact,picard,2.3,0.0,True,True,True,28,5.0594195499797934e-11,4.0671466194908135e-11,map_converged
exact,picard,2.3333333333333335,0.0,True,True,True,28,5.380784706687791e-11,4.256067720476153e-11,map_converged
exact,picard,2.3666666666666667,0.0,True,True,True,28,5.727218699291825e-11,4.459727032113392e-11,map_converged
exact,picard,2.4,0.0,True,True,True,28,6.104472483059453e-11,4.68149963239739e-11,map_converged
exact,picard,2.433333333333333,0.0,True,True,True,28,6.520783912833394e-11,4.9262316448306365e-11,map_converged
exact,picard,2.466666666666667,0.0,True,True,True,28,6.988543077568465e-11,5.201211683569795e-11,map_converged
exact,picard,2.5,0.0,True,True,True,28,7.528289103220231e-11,5.518513424007665e-11,map_converged
exact,picard,2.533333333333333,0.0,True,True,True,29,3.478084487085198e-11,2.5093704891787638e-11,map_converged
exact,picard,2.5666666666666664,0.0,True,True,True,29,3.839706330666104e-11,2.7219559939339888e-11,map_converged
exact,picard,2.6,0.0,True,True,True,29,4.4472203697409896e-11,3.079092536495409e-11,map_converged
exact,picard,2.6333333333333333,0.0,False,False,False,0,1.4161790490383697,1.4083333333333334,undefined_or_diverged
exact,picard,2.6666666666666665,0.0,False,False,False,0,1.4161790490383697,1.4166666666666667,undefined_or_diverged
exact,picard,2.7,0.0,False,False,False,0,1.4161790490383697,1.4250000000000003,undefined_or_diverged
exact,picard,2.7333333333333334,0.0,False,False,False,0,1.4161790490383697,1.4333333333333336,undefined_or_diverged
