model,deficit_lower,deficit_upper,deficit_median,count,prediction_rmse,prediction_mse,absolute_error_q99,maximum_error,residual_rmse,residual_max,capped_residual_rmse
lambda_0p01,1e-09,3.1622776601683795e-09,1.7637290516958615e-09,4980,0.00014635460066985968,2.1419669137234094e-08,0.0001660119337040733,0.00017007860907725103,1.943991599081954e-08,2.2199700189240446e-08,4.319981331293231e-09
lambda_0p01,3.1622776601683795e-09,1e-08,5.678840619971481e-09,5133,0.00010788392784347498,1.1638941886936115e-08,0.00013299768015359703,0.0001405437398407372,1.718330300473432e-08,2.106478236285625e-08,3.818511778829849e-09
lambda_0p01,1e-08,3.162277660168379e-08,1.7580567890362886e-08,355,5.46240022804937e-05,2.9837816251393815e-09,8.37706306677166e-05,8.613004665258828e-05,1.1125347454695212e-08,1.636763291568144e-08,2.4722994343767135e-09
lambda_0p01,3.162277660168379e-08,1e-07,5.624131427239831e-08,395,2.3089486708598105e-05,5.331243964665286e-10,4.615508876136154e-05,5.4035050615297564e-05,8.646675023620253e-09,1.980994401851177e-08,1.9214833385822785e-09
lambda_0p01,1e-07,3.162277660168379e-07,1.6757689202950843e-07,373,4.769249778365665e-05,2.274574344844095e-09,5.972572386030438e-05,6.780597012578937e-05,2.7015223980008364e-08,4.239644091352801e-08,6.0033831066685255e-09
lambda_0p01,3.162277660168379e-07,1e-06,5.865950366001904e-07,362,2.7650729658799223e-05,7.645628506639989e-10,4.642884939915603e-05,4.785714218336068e-05,3.4329490274508846e-08,6.709755817624341e-08,7.62877561655752e-09
lambda_0p01,1e-06,3.162277660168379e-06,1.680231441869573e-06,417,2.9666569597938074e-05,8.801053517093035e-10,4.548425193064531e-05,4.8840189850629656e-05,5.5489920366585513e-08,9.510058074368999e-08,1.2331093414796779e-08
lambda_0p01,3.162277660168379e-06,1e-05,5.475771237439808e-06,387,2.0801525915111854e-05,4.3270348039707e-10,3.359056617925793e-05,3.447491265795577e-05,6.987159969921428e-08,1.275427641278526e-07,1.552702215538095e-08
lambda_0p01,1e-05,3.1622776601683795e-05,1.7841830631915023e-05,371,1.638459977522103e-05,2.6845510979417296e-10,2.8935383622830103e-05,2.9887022961361254e-05,9.471845984328692e-08,1.6324585727645058e-07,2.104854663184153e-08
lambda_0p01,3.1622776601683795e-05,0.0001,5.622764280233117e-05,362,1.0347572653556694e-05,1.0707225982063432e-10,1.8566416819840722e-05,2.0694402728338446e-05,1.0767145104120819e-07,2.1336229916180116e-07,2.3926989120268477e-08
lambda_0p01,0.0001,0.00031622776601683794,0.00017371794170117916,361,5.722695040221706e-06,3.2749238523378114e-11,1.3433005146623599e-05,2.0463474653453773e-05,1.0311621303560622e-07,3.489837806514018e-07,2.2914714007912487e-08
lambda_0p01,0.00031622776601683794,0.001,0.0005575860395878873,373,3.671673214631436e-06,1.3481184195041943e-11,8.408366070828952e-06,8.8924284415981e-06,1.2155834566563816e-07,3.216117117066375e-07,2.7012965703475127e-08
lambda_0p01,0.001,0.0031622776601683794,0.0017687156880324961,374,2.614624939804054e-06,6.836263575845352e-12,6.381371465433715e-06,7.904329489605288e-06,1.5316251626223457e-07,4.063920150398914e-07,3.403611472494098e-08
lambda_0p01,0.0031622776601683794,0.01,0.005661078524180407,420,2.1836005173520127e-06,4.768111219379977e-12,5.38773024631567e-06,8.312184604619688e-06,2.2901757435675014e-07,1.013085620948928e-06,5.089279430149989e-08
lambda_0p01,0.01,0.03162277660168379,0.017846578982297467,466,1.8106866435622876e-06,3.2785861211748626e-12,5.279852177419999e-06,6.341496138873026e-06,3.2176514372102797e-07,1.041272304269647e-06,7.150336527133916e-08
lambda_0p01,0.03162277660168379,0.1,0.060401995552914034,590,1.948142324202017e-06,3.795258515347237e-12,5.607914080290047e-06,1.2903009098508278e-05,6.34480380596396e-07,4.9194014209996695e-06,1.4099564013252274e-07
lambda_0p01,0.1,0.31622776601683794,0.20663173307118948,758,2.0645753108614407e-06,4.262471214218615e-12,5.956431866742658e-06,1.4063711118339484e-05,1.051430019458816e-06,6.372454309899744e-06,2.3365111543526127e-07
lambda_0p01,0.31622776601683794,1.0,0.9994832279117276,13636,1.087345498711519e-06,1.1823202335682016e-12,3.3992329558030218e-06,7.254500444808798e-06,1.035411111307086e-06,7.254497952642845e-06,2.3009135806822032e-07
lambda_0p1,1e-10,3.1622776601683795e-10,1.8001700130554354e-10,4979,0.0001517538419133841,2.302922853547238e-08,0.00016035035792231868,0.00016248169580634908,1.4421924161296602e-08,1.5524082686013685e-08,3.2048720358436895e-09
lambda_0p1,3.1622776601683795e-10,1e-09,5.653859602716693e-10,4908,0.00013795387934700318,1.903127282688751e-08,0.0001493117051230186,0.00015205811940788294,1.4187451314006427e-08,1.540271343802857e-08,3.1527669586680946e-09
lambda_0p1,1e-09,3.1622776601683795e-09,1.7637290516958615e-09,4980,0.00011546638312198169,1.3332485631272257e-08,0.00013124950230972488,0.000134024701713642,1.3528553769084345e-08,1.5036882183849798e-08,3.006345282018743e-09
lambda_0p1,3.1622776601683795e-09,1e-08,5.678840619971481e-09,5133,7.936183134267458e-05,6.298300274063125e-09,0.00010083522260913469,0.00010462935967048281,1.1437929172313678e-08,1.3872035076190059e-08,2.5417620382919284e-09
lambda_0p1,1e-08,3.162277660168379e-08,1.7580567890362886e-08,355,3.305347784479634e-05,1.0925323976364427e-09,5.6174978165106627e-05,5.6952122775122405e-05,6.18756795468162e-09,9.68545510460217e-09,1.3750151010403601e-09
lambda_0p1,3.162277660168379e-08,1e-07,5.624131427239831e-08,395,2.219878802401524e-05,4.927861897351624e-10,3.611545142408801e-05,4.154822019941662e-05,8.11007233027855e-09,1.5633170091788884e-08,1.802238295617456e-09
lambda_0p1,1e-07,3.162277660168379e-07,1.6757689202950843e-07,373,2.477044475258456e-05,6.135749332408438e-10,3.775493572702344e-05,4.438525274785832e-05,1.2807826635755893e-08,1.912099689693747e-08,2.846183696834643e-09
lambda_0p1,3.162277660168379e-07,1e-06,5.865950366001904e-07,362,2.099416243951693e-05,4.4075485653682343e-10,2.9162475412762844e-05,3.341383439697809e-05,2.3225804210827565e-08,3.7466707958344614e-08,5.161289824628349e-09
lambda_0p1,1e-06,3.162277660168379e-06,1.680231441869573e-06,417,1.534476202999599e-05,2.3546172175720665e-10,2.4994705214922417e-05,2.614585489502108e-05,2.8679196560215056e-08,4.8875544722548625e-08,6.373154791158901e-09
